Cover URL,Name,Price,Old Price,Rating,Items Left
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/7972613/1.jpg?2744,TCL 43V6C 43 Inch Smart 4K HDR Google TV (1YR WRTY),"KSh 28,199"
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/984339/1.jpg?4670,"Vitron HTC4388FS - 43"" Smart Android Frameless TV - Black (1YR WRTY)","KSh 16,999"
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/0896852/1.jpg?2463,"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 24,899"
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/2167382/1.jpg?2022,Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY) - Silver,"KSh 17,499"
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/6707713/1.jpg?4621,,
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/1998123/1.jpg?7977,,
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/6528313/1.jpg?5877,,
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/9142572/1.jpg?1893,,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Nice & Lovely Cocoa Butter 400ml lotion (Twin Pack),KSh 410
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Design Watches Luminous Alloy Men's Wrist Watch - Green,KSh 274
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),KSh 709
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Softcare Premium Soft Diaper High Count, Size L, 40 Count",KSh 807
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Maybelline Lip Kit Super Stay Matte Ink Liquid Lipstick, Pioneer 5ml + Lifter Gloss Plumping and Hydrating Lip Gloss, Sweetheart 5.4ml","KSh 2,373"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",NIVEA Soft Moisturizing Cream 75ml (Pack Of 2),KSh 629
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",2NLF PTZ Wifi IP Camera LED Bulb Security Surveillance Outdoor,"KSh 1,463"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","NIVEA Pearl & Beauty Black Pearl Fine Fragrance Anti-Perspirant Roll-On, 48h - 50ml (Pack Of 2)",KSh 709
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Mythco 3/4” Wood Gluing Pipe Clamp Set For Woodworking, DIY Projects",KSh 919
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",2025 New Model Ladies Dating Set Gift Simple Watch Bracelet 2-piece Set,KSh 522
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Garnier Acne Control Routine Kit: Pure Active Charcoal Wash 150ml+ AHA+BHA Charcoal Serum 30ml+ Mattifying Air Cream 50ml,"KSh 2,873"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",FUXING FASHION Women Breathable And Non Slip Shoes Ladies Shoes For Women Shoe,KSh 499 - KSh 585
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Dove Beauty Bar Shea Butter & Vanilla 135G,KSh 330
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Mythco 46Pcs Socket Wrench Set - Auto Repair Tool Kit Black Ratchet,KSh 824
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Shoe Rack Stackable Assembly Shoe Clothes Organizer-4 Layers,KSh 850
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Eaget Pen Flash Drive 3.0 128GB - Metal OTG Micro USB Type-C,KSh 449
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","NIVEA His & Hers Deo Pack - Deep Roll-On - 50ml, Pearl & Beauty Roll-On - 50ml",KSh 748
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",L'Oréal Paris Revitalift Filler Day & Night Serum Kit: Revitalift Laser Retinol Deep Wrinkle Night Serum 30 ml + Revitalift 1.5% Hyaluronic Acid Serum 30ml,"KSh 3,835"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Amtec 32R1S, 32"" Inch Smart Android Frameless LED TV With Bluetooth, (1YR WRTY).","KSh 9,999"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Softcare Premium Diapers JB, Size S, 69 Count","KSh 1,041"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Garnier Bye Acne & Dark Spots Skin Care Kit: 3 In 1 Charcoal Cleanser 150ml + Vitamin C Brightening Booster Face Serum + SPF30 UV Protective Sunscreen 50ml,"KSh 2,824"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Maybelline Superstay Matte Ink Liquid Lipstick - 20 Pioneer + FREE Garnier Micellar Water In Oil 100ml,"KSh 1,914"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Oale S24+ - 6.52"" 32GB ROM 3GB RAM 8MP 4050mAh 3G (With Cover, Glass Protector, Dual SIM) - Black (1YR WRTY)","KSh 5,699"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Softcare Premium Soft Diaper High Count, Size Midi, 42 Count",KSh 690
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Joystick and game controller for PS3 PC game pad game accessories wireless gamepad for iOS android mobile phone,"KSh 2,469"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Nice & Lovely Moisturizing Kit: lemon 360ml + Body Oil 100ml (Pack of 2),KSh 726
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","addigoes 10pcs Thickened Non-Slip Clothes Hangers – Heavy-Duty, Space-Saving, Durable Wardrobe Storage Essentials","KSh 1,328"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Softcare Baby Wipes 80pcs,KSh 150
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Amtec 43L12, 43"" FHD Smart Android Frameless TV, Netfix, Youtube, Bluetooth - Black (1YR WRTY)","KSh 16,299"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),KSh 999
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",TCL 43V6C 43 Inch Smart 4K HDR Google TV (1YR WRTY),"KSh 28,199"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",TCL 55V6C 55Inch Smart 4K HDR Google TV (1YR WRTY),"KSh 41,999"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Pureliving Stainless Steel Whisk Set-3PCS,KSh 545
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,199"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",NIVEA MEN Deep Body Lotion For Men - 400ml,KSh 536
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","NIVEA Pearl & Beauty Anti-Perspirant Rollon, 72h - 50ml (Pack Of 2)",KSh 709
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Maybelline Lasting Fix Setting Pray + Fit Me Primer Luminous & Smooth + FREE Lifter Gloss Topaz,"KSh 3,702"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Axe Body Spray For Men Adrenalin 150Ml,KSh 550
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY) - Silver,"KSh 17,499"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Hisense 7.5Kg Twin Tub Top Load Washing Machine - White (2YRs WRTY),"KSh 17,999"
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/082586/1.jpg?4650,NIVEA MEN Deep Body Lotion For Men - 400ml (Pack of 2),KSh 929
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/4328572/1.jpg?4085,DIY Handmade Airplane Model Toys,KSh 218
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/0837513/1.jpg?8815,Hisense 43A6K 43 Inch 4K UHD Smart TV (2YRs WRTY),"KSh 29,399"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Hisense 43 Inch 43A4KKEN Smart TV (2YRs WRTY),"KSh 23,499"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Poco C75, 6.88"", 256GB + 8GB RAM (Dual SIM), 5160mAh, 4G - Black (2YRs WRTY)","KSh 14,076"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","VON VRT-195DRHS Double Door Direct Cool - 195L, Dark Silver (1YR WRTY)","KSh 30,899"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Oale POP9 - 6.6"" 64GB ROM 3GB RAM 8MP 5075mAh 3G (With Earphones, Cover, Glass Protector, Dual SIM) - Black (1YR WRTY)","KSh 6,559"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Hisense 55A6NKEN 55 Inch Smart 4k UHD Frameless (2YRs WRTY),"KSh 42,499"
